@relation CGE_R0-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute mm_1h numeric
@attribute mm_2h numeric
@attribute mm_3h numeric
@attribute mm_4h numeric
@attribute mm_6h numeric
@attribute mm_12h numeric
@attribute class {0,1}

@data
12.6,8.17,5.58,4.185,2.79,2.086667,1
4.72,11.015,8.063333,6.0475,4.098333,2.099167,1
5.3,1.6184,6.3,4.98,3.32,2.1025,0
2.95,5.205,7.006667,6.335,4.223333,2.111667,1
23.25,12.805,8.536667,6.4025,4.268333,2.134167,1
24.47,12.825,8.55,6.4125,4.275,2.1375,1
25.67,12.835,8.556667,6.4175,4.278333,2.139167,1
25.84,12.92,8.613333,6.46,4.306667,2.153333,1
9.04,8.065,8.196667,6.4425,4.328333,2.164167,1
6.88,12.995,8.663333,6.4975,4.331667,2.165833,1
23.45,13.005,8.67,6.5025,4.335,2.1675,1
5.32,12.515,8.67,6.5025,4.335,2.1675,1
14.87,12.615,8.67,6.5025,4.335,2.1675,1
0.79,12.12,8.67,6.5025,4.335,2.1675,1
0,5.84,8.686667,6.515,4.343333,2.171667,1
25.28,13.03,8.686667,6.515,4.343333,2.171667,1
5.69,6.575,8.78,6.585,4.39,2.195,1
3.93,5.89,7.203333,5.8925,3.995,2.196667,1
0.2,13.19,8.793333,6.595,4.396667,2.198333,1
22.49,11.54,7.693333,5.77,3.846667,2.2025,1
0,0.1,6.206667,5.4425,3.628333,2.208333,1
21.57,10.785,7.19,5.3925,3.628333,2.225,1
0,10.785,7.19,5.3925,3.595,2.225,1
4.52,8.455,6.686667,6.6375,4.458333,2.229167,1
26.78,13.39,8.926667,6.695,4.463333,2.231667,1
26.88,13.44,8.96,6.72,4.48,2.24,1
26.99,13.495,8.996667,6.7475,4.498333,2.249167,1
0.2,13.555,9.036667,6.7775,4.518333,2.259167,1
27.22,13.61,9.073333,6.805,4.536667,2.268333,1
27.25,13.625,9.083333,6.8125,4.541667,2.270833,1
2.95,4.81,6.94,6.1375,4.158333,2.278333,1
27.43,13.715,9.143333,6.8575,4.571667,2.285833,1
27.33,13.665,9.11,6.8325,4.588333,2.294167,1
0.2,1.085,1.316667,1.8225,2.035,2.2975,1
20.42,13.96,9.306667,6.98,4.653333,2.326667,1
27.93,13.965,9.31,6.9825,4.655,2.3275,1
7.28,13.875,9.25,6.9375,4.625,2.329167,1
3.94,13.09,8.793333,6.595,4.43,2.329167,1
26.42,13.705,9.136667,6.8525,4.568333,2.333333,1
15.85,13.705,9.136667,6.8525,4.568333,2.333333,1
26.62,13.41,9.336667,7.0025,4.668333,2.334167,1
7.86,5.015,8.513333,6.5325,4.355,2.343333,1
26.33,14.05,9.366667,7.025,4.683333,2.358333,1
3.15,7.08,9.38,7.035,4.69,2.361667,1
0.79,5.505,7.143333,6.4525,4.301667,2.365,1
27.27,14.22,9.48,7.11,4.74,2.37,1
3.14,2.945,2.556667,2.1675,1.545,2.378333,1
28.68,14.34,9.56,7.17,4.78,2.39,1
23.43,11.815,7.876667,7.185,4.79,2.395,1
20.27,14.37,9.58,7.185,4.79,2.395,1
28.84,14.42,9.613333,7.21,4.806667,2.403333,1
22.88,14.515,9.676667,7.2575,4.838333,2.419167,1
16.92,14.52,9.68,7.26,4.84,2.42,1
0,0,0,0.05,2.626667,2.431667,1
13.43,7.305,8.746667,6.7575,4.571667,2.435,1
2.95,9.955,7.226667,5.47,4.871667,2.435833,1
0.2,0.1,2.23,5.3225,3.941667,2.4475,1
10.25,5.72,3.88,2.91,2.14,2.449167,1
3.93,4.62,9.633333,7.3725,4.915,2.4575,1
3.73,3.34,2.883333,2.4125,1.741667,2.46,1
23.05,14.77,9.846667,7.385,4.923333,2.461667,0
0.2,3.158704,2.278765,1.840741,4.923333,2.461667,0
5.462963,14.77,9.846667,7.385,4.923333,2.461667,0
5.462963,3.158704,2.278765,1.840741,1.312469,2.461667,0
5.462963,3.158704,2.278765,1.840741,4.923333,2.461667,0
0.2,14.77,9.846667,7.385,4.923333,2.461667,0
0.2,0.1,2.278765,1.840741,1.312469,2.461667,0
29.66,14.83,9.886667,7.415,4.943333,2.471667,1
0,2.655,4,3.3925,4.953333,2.476667,1
0.79,0.89,5.463333,4.0975,4.801667,2.484167,1
0.2,0.89,5.07,4.0975,4.801667,2.484167,1
29.83,14.915,9.943333,7.4575,4.971667,2.485833,1
26.51,15.03,10.02,7.515,5.01,2.505,1
2.16,2.165,7.346667,6.1525,4.135,2.528333,1
29.96,15.175,10.116667,7.5875,5.058333,2.529167,1
0.99,15.325,10.216667,7.6625,5.108333,2.554167,1
0,0,0,0,0,2.558333,1
30.76,15.38,10.253333,7.69,5.126667,2.563333,1
6.29,15.405,10.27,7.7025,5.135,2.5675,1
0,0,0,0,0.133333,2.606667,1
30.63,15.615,10.476667,7.8575,5.238333,2.619167,1
0,0.195,0.196667,0.2975,0.886667,2.624167,1
31.51,15.755,10.503333,7.8775,5.251667,2.625833,1
31.52,15.76,10.506667,7.88,5.253333,2.626667,1
5.69,7.955,9.823333,7.6625,5.141667,2.636667,1
31.72,15.86,10.573333,7.93,5.286667,2.643333,1
21.47,12.205,8.596667,6.4475,4.398333,2.659167,1
31.67,16.03,10.686667,8.015,5.343333,2.671667,1
27.76,16.045,10.696667,8.0225,5.348333,2.674167,1
14.38,16.055,10.703333,8.0275,5.351667,2.675833,1
32.17,16.085,10.723333,8.0425,5.361667,2.680833,1
12.59,13.48,10.163333,7.6225,5.081667,2.691667,0
11.62,7.97,5.446667,4.185,5.385,2.6925,1
3.34,3.64,5.186667,3.94,2.66,2.726667,1
32.73,16.365,10.91,8.1825,5.455,2.7275,1
32.81,16.405,10.936667,8.2025,5.468333,2.734167,1
0.2,1.77,2.493333,3.94,2.66,2.743333,1
11.22,6.495,4.853333,3.64,2.426667,2.755,1
28.16,16.045,11.023333,8.2675,5.511667,2.755833,1
3.95,7.31,10.503333,7.975,5.513333,2.756667,1
11.22,10.53,7.086667,7.3825,4.921667,2.756667,1
11.02,6.89,7.216667,7.4825,5.021667,2.756667,1
18.49,10.92,8.066667,6.395,5.515,2.7575,1
14.95,8.36,5.573333,7.2775,5.533333,2.766667,0
3.605556,2.163611,5.573333,7.2775,5.533333,2.766667,0
0.2,2.163611,1.581111,7.2775,5.533333,2.766667,0
?,?,0.066667,0.05,1.074074,2.766667,0
0.2,8.36,5.573333,7.2775,5.533333,2.766667,0
0.2,0.1,0.066667,1.387222,1.074074,2.766667,0
3.605556,8.36,5.573333,7.2775,5.533333,2.766667,0
0,5.96,11.066667,8.3,5.533333,2.766667,1
33.21,16.605,11.07,8.3025,5.535,2.7675,1
33.24,16.62,11.08,8.31,5.54,2.77,1
6.09,7.56,8.12,6.8275,4.951667,2.786667,0
1.184167,1.056042,11.153333,8.365,5.576667,2.788333,0
11.42,5.71,3.873333,5.4175,4.168333,2.79,1
11.22,14.74,11.073333,8.305,5.536667,2.801667,1
33.05,16.82,11.213333,8.41,5.606667,2.803333,1
33.71,16.855,11.236667,8.4275,5.618333,2.809167,1
33.01,16.705,11.266667,8.45,5.633333,2.816667,1
7.46,13.875,9.25,6.9375,5.051667,2.820833,1
33.63,17.015,11.343333,8.5075,5.671667,2.835833,1
0,0,0,0,0.033333,2.851667,1
1.19,1.48,4.336667,8.63,5.753333,2.876667,1
34.74,17.37,11.58,8.685,5.79,2.895,1
2.12,1.850714,1.350381,1.154857,5.803333,2.901667,0
2.12,1.850714,1.350381,1.154857,0.946286,2.901667,0
0.2,1.850714,1.350381,1.154857,5.803333,2.901667,0
10.63,17.41,11.606667,8.705,5.803333,2.901667,0
10.63,1.850714,1.350381,1.154857,0.946286,2.901667,0
?,1.850714,11.606667,8.705,5.803333,2.901667,0
0.2,17.41,11.606667,8.705,5.803333,2.901667,0
0.2,1.850714,11.606667,8.705,5.803333,2.901667,0
0,0,0,0,0,2.921667,1
35.14,17.57,11.713333,8.785,5.856667,2.928333,1
2.95,8.355,7.796667,6.0475,5.573333,2.935,1
13,9.145,7.736667,6.685,4.953333,2.950833,0
28.66,17.73,11.82,8.865,5.91,2.955,1
16.52,9.345,6.816667,6.585,4.95,2.965833,0
10.03,5.115,11.163333,9.0125,6.008333,3.004167,1
19.2,18.085,12.056667,9.0425,6.028333,3.014167,1
4.91,4.615,8.66,6.9875,5.673333,3.0175,1
11.84,6.415,5.453333,4.9725,3.583333,3.020833,1
7.28,12.78,10.623333,8.0675,6.1,3.05,1
33.1,17.735,12.216667,9.1625,6.108333,3.054167,1
9.25,5.41,8.563333,9.0125,6.14,3.07,1
4.53,5.795,7.366667,6.9725,5.24,3.096667,0
15.64,10.58,7.513333,6.5675,5.035,3.108333,1
2.75,2.945,3.076667,3.24,2.913333,3.11,1
30.46,18.38,12.253333,9.24,6.26,3.13,1
26.96,16.825,11.216667,9.445,6.296667,3.148333,0
5.179167,16.825,11.216667,9.445,6.296667,3.148333,0
1.58,9.55,12.65,9.4875,6.325,3.1625,1
10.62,6,4.656667,3.8375,3.706667,3.181667,1
38.28,19.14,12.76,9.57,6.38,3.19,1
0,0,0.92,4.6225,3.51,3.195833,1
1.97,4.43,2.953333,2.8525,5.971667,3.200833,1
38.46,19.23,12.82,9.615,6.41,3.205,1
0,0,0.066667,0.2,1.673333,3.2125,1
0,0.1,0.133333,0.5425,2.886667,3.2125,1
2.56,6.295,4.263333,9.01,6.433333,3.216667,1
7.08,4.43,3.41,4.33,6.101667,3.2175,1
11.6,16.43,12.923333,9.6925,6.461667,3.230833,1
38.83,19.415,12.943333,9.7075,6.471667,3.235833,1
15.96,19.425,12.95,9.7125,6.475,3.2375,1
0,0,0,0,0.228333,3.2475,1
16.16,19.525,13.016667,9.7625,6.508333,3.254167,1
39.46,19.73,13.153333,9.865,6.576667,3.288333,1
38.31,19.545,13.03,9.7725,6.515,3.290833,1
34.65,19.29,13.186667,9.89,6.593333,3.296667,1
1.98,4.625,5.57,9.25,6.166667,3.296667,1
29.79,20.01,13.34,10.005,6.67,3.335,1
40.38,20.19,13.46,10.095,6.73,3.365,1
39.99,20.19,13.46,10.095,6.73,3.365,1
34.82,20.25,13.5,10.125,6.75,3.375,1
35.14,17.67,11.78,8.835,5.923333,3.389167,1
1.98,2.07,2.56,2.8025,2.43,3.399167,1
15.17,20.425,13.616667,10.2125,6.808333,3.404167,1
33.78,20.04,13.36,10.02,6.68,3.415,0
?,0.1,2.556354,10.02,6.68,3.415,0
4.965937,20.04,13.36,10.02,6.68,3.415,0
4.965937,3.505156,2.556354,2.280937,6.68,3.415,0
41.11,20.555,13.703333,10.2775,6.851667,3.425833,1
16.76,8.875,7.093333,6.205,4.403333,3.430833,1
41.23,20.615,13.743333,10.3075,6.871667,3.435833,1
18.99,10.285,7.643333,6.665,4.938333,3.469167,1
41.43,20.815,13.876667,10.4075,6.938333,3.469167,1
0.99,14.985,13.886667,10.415,6.943333,3.471667,1
23.5,20.905,13.936667,10.4525,6.968333,3.484167,1
27.63,20.905,13.936667,10.4525,6.968333,3.484167,1
3.974516,17.03,11.353333,8.515,6.066667,3.491667,0
?,?,?,0.05,1.257581,3.491667,0
19.48,11.805,8.526667,7.23,5.181667,3.4925,1
4.92,9.54,10.033333,7.7225,6.033333,3.4925,1
3.908667,0.1,0.066667,0.05,0.033333,3.501667,0
?,?,?,0.05,1.12179,3.509167,0
?,?,0.066667,0.05,1.12179,3.509167,0
0.2,1.461296,1.407531,1.299907,6.135,3.509167,0
4.71,8.75,10.096667,8.555,6.135,3.509167,0
0.2,0.795,1.513333,2.2175,2.823333,3.513333,1
13.98,12.205,11.09,10.58,7.053333,3.526667,1
0.2,1.38,4.13,7.58,5.94,3.528333,1
41.38,21.29,14.193333,10.645,7.096667,3.548333,1
3.93,4.125,4.45,4.7125,4.615,3.5525,0
0,0,0,0,1.311667,3.6075,1
32.86,21.735,14.49,10.8675,7.245,3.6225,1
0.59,1.085,8.666667,9.1675,7.293333,3.646667,1
0.79,2.665,8.666667,9.2175,7.293333,3.646667,1
15.67,9.245,6.163333,4.6225,3.213333,3.653333,0
2.082712,9.245,6.163333,4.6225,3.213333,3.653333,0
0,0,0,0.3425,1.638333,3.656667,1
0,0,0,0,0.491667,3.713333,1
44.8,22.4,14.933333,11.2,7.466667,3.733333,1
0,0,0,1.425,3.146667,3.7375,1
44.93,22.465,14.976667,11.2325,7.488333,3.744167,1
41.47,20.735,15.006667,11.255,7.503333,3.751667,1
0,0.985,3.083333,10.725,7.51,3.755,1
0,0,0,3.3325,7.563333,3.781667,1
0,0,0,0,7.563333,3.781667,1
45.38,22.69,15.126667,11.345,7.563333,3.781667,1
13.33,22.69,15.126667,11.345,7.563333,3.781667,1
9.05,7.08,7.866667,8.975,6.705,3.795833,1
1.37,0.785,3.276667,3.685,5.97,3.836667,1
0,0.685,1.376667,3.0475,4.39,3.836667,1
0,0.685,0.983333,2.7525,3.505,3.836667,1
1.37,3.54,4.326667,4.4725,6.265,3.836667,1
13.58,23.155,15.436667,11.5775,7.718333,3.859167,1
6.112903,3.994355,2.917527,2.329516,1.739355,3.866667,0
4.72,2.36,1.573333,1.18,0.786667,3.869167,1
25.48,22.375,15.64,11.73,7.82,3.91,1
10.61,12.48,12.45,10.955,7.828333,3.930833,1
12.78,11.6,8.78,6.685,4.981667,3.934167,1
44.54,23.65,15.766667,11.825,7.883333,3.941667,1
36.72,21.015,14.01,10.5075,7.038333,3.946667,1
47.4,23.7,15.8,11.85,7.9,3.95,1
47.79,23.895,15.93,11.9475,7.965,3.9825,1
13.57,8.26,10.093333,9.2425,6.718333,3.983333,1
18.7,16.66,15.98,11.985,7.99,3.995,1
25.23,22.795,15.983333,11.9875,7.991667,3.995833,1
12.2,8.16,9.373333,9.1925,6.686667,4,1
45.27,24.015,16.01,12.0075,8.005,4.0025,1
25.36,12.68,8.52,6.585,8.03,4.015,1
0,0,0,0.2475,2.065,4.018333,1
0.6,1.675,2.69,11.815,8.04,4.02,1
0,0,0,0.2475,2.033333,4.025,1
10.63,16.855,13.736667,12.135,8.09,4.045,1
45.77,24.36,16.24,12.18,8.12,4.06,1
19.98,24.345,16.426667,12.32,8.213333,4.106667,1
8.26,7.77,6.553333,9.6625,7.098333,4.106667,1
0,0,0,0.345,2.591667,4.108333,1
0,0,0.393333,0.395,2.69,4.108333,1
16.72,8.86,6.693333,5.6575,4.723333,4.115833,1
49.4,24.7,16.466667,12.35,8.233333,4.116667,1
0.79,5.505,5.44,5.3075,6.738333,4.123333,1
0,0,0.33,0.7375,2.983333,4.14,1
0.4,4.235,4.986667,4.82,6.773333,4.140833,1
0.2,0.495,2.426667,3.4925,5.851667,4.189167,1
0.99,1.475,4.066667,4.475,6.705,4.189167,1
8.07,16.505,15.746667,12.5,8.431667,4.215833,1
50.76,25.38,16.92,12.69,8.46,4.23,1
37.78,25.385,16.923333,12.6925,8.461667,4.230833,1
26.94,25.44,16.96,12.72,8.48,4.24,1
50.3,25.445,16.963333,12.7225,8.481667,4.240833,1
32.84,25.525,17.016667,12.7625,8.508333,4.254167,1
0.79,3.25,6.303333,4.7775,3.185,4.283333,1
24.01,17.025,11.483333,9.545,6.79,4.33,1
14.96,10.035,10.096667,10.2275,7.376667,4.3775,1
40.21,20.4,17.523333,13.1425,8.761667,4.380833,1
2.75,24.67,16.446667,13.2225,8.815,4.4075,1
53.48,26.74,17.826667,13.37,8.913333,4.456667,1
50.69,26.825,17.883333,13.4125,8.941667,4.470833,1
33.56,27.34,18.226667,13.67,9.113333,4.556667,1
30.26,27.4,18.266667,13.7,9.133333,4.566667,1
17.74,27.54,18.36,13.77,9.18,4.59,1
54.88,27.44,18.293333,13.72,9.18,4.59,1
55.17,27.585,18.39,13.7925,9.195,4.5975,1
53.44,26.82,18.013333,13.8025,9.201667,4.600833,1
0,5.32,18.426667,13.82,9.213333,4.606667,1
0.99,26.85,18.426667,13.82,9.213333,4.606667,1
55.59,27.795,18.53,13.8975,9.265,4.6325,1
4.72,9.15,6.24,4.83,9.27,4.635,1
2.95,17.305,17.016667,13.9425,9.295,4.6475,1
0.2,0.1,0.066667,1.735809,0.033333,4.648333,0
36.69,18.345,12.23,9.1725,6.115,4.648333,0
3.695294,18.345,12.23,9.1725,6.115,4.648333,0
54.2,27.99,18.66,13.995,9.33,4.665,1
4.33,9.39,6.26,4.695,3.458333,4.665833,1
56.1,28.05,18.7,14.025,9.35,4.675,1
0.2,15.72,18.373333,13.78,9.22,4.675833,1
3.15,2.655,1.836667,2.9025,3.841667,4.6775,1
56.13,28.065,18.71,14.0325,9.355,4.6775,1
25.97,27.61,18.406667,13.805,9.203333,4.684167,1
31.87,16.755,18.833333,14.125,9.416667,4.708333,0
0,0,0.066667,0.1,4.588333,4.746667,1
57.95,29.075,19.383333,14.5375,9.691667,4.845833,1
35.77,29.455,19.636667,14.7275,9.818333,4.909167,1
0.2,0.1,0.066667,0.69,3.148333,4.9175,1
0.8,9.42,19.723333,14.89,9.926667,4.963333,1
11.81,12.69,9.443333,10.5225,8.261667,4.9675,1
15.87,30.34,20.226667,15.17,10.113333,5.056667,1
?,0.1,0.066667,1.811875,1.325104,5.076667,0
?,?,0.066667,0.05,1.325104,5.076667,0
?,?,0.066667,0.05,10.153333,5.076667,0
0.2,3.113359,20.306667,15.23,10.153333,5.076667,0
0.79,15.705,20.36,15.27,10.18,5.09,1
0,0,0.066667,0.2475,10.213333,5.106667,1
53.98,30.675,20.45,15.3375,10.225,5.1125,1
42.59,30.675,20.45,15.3375,10.225,5.1125,1
49.65,30.72,20.48,15.36,10.24,5.12,1
62,31.1,20.733333,15.55,10.366667,5.183333,1
21.84,21.89,20.756667,15.5675,10.378333,5.189167,1
60.61,30.405,20.466667,15.645,10.43,5.215,1
24.2,18.39,20.88,15.66,10.44,5.22,1
1.78,30.49,20.853333,15.64,10.426667,5.23,1
48.57,31.71,21.14,15.855,10.57,5.285,1
32.91,32.045,21.363333,16.0225,10.681667,5.340833,1
5.71,7.085,8.853333,7.3775,9.018333,5.410833,1
65.05,32.525,21.683333,16.2625,10.841667,5.420833,1
65.49,32.845,21.896667,16.4225,10.981667,5.490833,1
0,0,0.853333,1.77,5.411667,5.4925,1
66.1,33.05,22.033333,16.525,11.016667,5.508333,1
0,0.1,0.853333,3,5.508333,5.5575,1
30.14,33.375,22.45,16.8375,11.225,5.629167,1
69.19,34.595,23.063333,17.2975,11.531667,5.765833,1
69.97,34.985,23.323333,17.4925,11.661667,5.830833,1
51.21,35.18,23.453333,17.59,11.726667,5.863333,1
70.36,35.18,23.453333,17.59,11.726667,5.863333,1
38.58,34.805,23.336667,17.5525,11.701667,5.8675,1
37.83,36.585,24.39,18.2925,12.228333,6.114167,1
0.98,1.28,1.313333,1.92,1.28,6.2725,1
55.67,37.635,25.09,18.8175,12.545,6.2725,1
7.49,23.865,26.616667,19.9625,13.308333,6.654167,1
71.64,38.765,25.843333,20.8125,13.875,6.9375,1
39.3,38.01,27.113333,20.335,13.556667,7.2225,1
33.13,43.1,28.733333,21.55,14.366667,7.528333,1
24.32,41.23,29.256667,21.9425,14.628333,7.659167,1
15.4,35.335,29.256667,21.9425,14.628333,7.659167,1
1.77,2.26,4.06,16.4525,15.513333,7.756667,1
2.36,2.65,6.9,18.9925,15.513333,7.756667,1
19.08,27.03,29.733333,22.35,14.9,7.894167,1
29.52,47.465,31.643333,23.7325,15.855,7.944167,1
19.56,47.465,31.643333,23.7325,15.855,7.944167,1
4.13,7.175,17.883333,22.5925,15.946667,7.99,1
29.08,46.065,30.71,23.0825,16.308333,8.154167,1
49.44,49.73,33.153333,24.865,16.576667,8.288333,1
