@relation CGE_R0-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute mm_1h numeric
@attribute mm_2h numeric
@attribute mm_3h numeric
@attribute mm_4h numeric
@attribute mm_6h numeric
@attribute mm_12h numeric
@attribute class {0,1}

@data
3.73,1.865,1.243333,0.9325,0.621667,0.310833,1
3.15,1.875,1.25,0.9375,0.625,0.3125,1
3.75,1.875,1.25,0.9375,0.625,0.3125,1
0,0,0,0.15,0.133333,0.313333,1
0.99,0.495,0.33,0.2475,0.165,0.315833,1
3.93,1.965,1.31,0.9825,0.655,0.3275,1
3.54,1.965,1.31,0.9825,0.655,0.3275,1
3.95,1.975,1.316667,0.9875,0.658333,0.329167,1
4.12,2.06,1.373333,1.03,0.686667,0.343333,1
0.98,0.49,1.376667,1.0325,0.688333,0.344167,1
3.74,1.97,1.313333,0.985,0.656667,0.345,1
2.76,1.48,1.053333,0.79,0.69,0.345,1
0.79,1.775,1.183333,0.8875,0.591667,0.345833,1
1.78,1.875,1.25,0.9375,0.625,0.345833,1
8.19,4.095,3.273333,2.9,2.461667,0.3569,0
0.2,0.1,0.066667,0.05,0.4854,0.3569,0
0.9172,0.6448,0.575067,0.5597,0.4854,0.3569,0
8.19,4.095,3.273333,2.9,0.4854,0.3569,0
4.32,2.16,1.44,1.08,0.72,0.36,1
1.57,0.785,0.523333,1.13,0.753333,0.376667,1
4.53,2.265,1.51,1.1325,0.755,0.3775,1
0,0,0,0.05,0.69,0.378333,1
0,0,0.196667,0.74,0.493333,0.38,1
0.8,1,1.196667,1.1425,0.761667,0.380833,1
3.54,2.36,1.573333,1.18,0.786667,0.393333,1
4.72,2.36,1.573333,1.18,0.786667,0.393333,1
1.78,1.675,1.116667,1.1825,0.788333,0.410833,1
1.78,1.585,1.256667,1.24,0.826667,0.413333,1
0.2,0.3,0.266667,0.25,0.3,0.416667,1
0.4,0.4,0.4,0.4,0.4,0.416667,1
5.12,2.56,1.706667,1.28,0.853333,0.426667,1
2.56,2.07,1.71,1.2825,0.855,0.4275,1
0.4,0.4,0.4,0.4,0.4,0.433333,1
5.12,2.56,1.706667,1.28,0.853333,0.443333,1
0,0,0,0,0.165,0.445,1
5.51,2.755,1.836667,1.3775,0.918333,0.459167,1
3.73,3.535,3.47,0.5227,0.534,0.462967,0
3.73,3.535,3.47,3.535,0.534,0.462967,0
1,0.5,0.333333,0.25,0.398333,0.464167,1
1.398571,0.863571,0.69,0.610357,0.551667,0.46744,0
0.2,0.1,0.066667,0.05,0.033333,0.46744,0
14.38,7.59,5.26,0.610357,0.551667,0.46744,0
0.2,0.1,0.066667,0.05,0.551667,0.46744,0
0.39,0.195,0.13,0.0975,0.065,0.476667,1
6.09,3.045,2.03,1.5225,1.015,0.5075,1
0.2,1.18,0.786667,0.59,0.426667,0.509167,1
0,0.69,1.903333,1.4275,0.951667,0.509167,1
0,3.15,2.1,1.575,1.05,0.525,1
2.771154,2.248269,1.704872,1.373558,0.940064,0.528942,0
2.12,1.850714,1.350381,1.154857,0.946286,0.531024,0
10.63,1.850714,1.350381,1.154857,0.946286,0.531024,0
?,0.1,0.066667,0.05,0.033333,0.531024,0
0.2,1.850714,0.066667,0.05,0.033333,0.531024,0
0.4,0.5,0.533333,0.5,0.5,0.533333,1
5.9,3.245,2.163333,1.6225,1.081667,0.540833,1
0.2,0.7,0.466667,1.3825,1.053333,0.543333,1
6.68,3.34,2.226667,1.67,1.113333,0.556667,1
2.56,2.75,0.857849,0.842742,0.746613,0.560699,0
0.91871,0.849194,0.857849,0.842742,0.746613,0.560699,0
2.56,2.75,3.016667,3.2925,0.746613,0.560699,0
2.56,2.75,3.016667,3.2925,2.918333,0.560699,0
2.56,2.75,3.016667,0.842742,0.746613,0.560699,0
1.39,1.585,1.19,0.9925,0.961667,0.563333,1
16.52,9.345,6.816667,6.585,0.998619,0.580762,0
2.847714,9.345,6.816667,1.272571,0.998619,0.580762,0
0,0,0,0,0,0.59,1
0.8,0.4,0.923333,1.04,0.86,0.595833,1
?,2.163611,1.581111,1.387222,1.074074,0.598796,0
14.95,8.36,5.573333,1.387222,1.074074,0.598796,0
3.605556,2.163611,1.581111,1.387222,1.074074,0.598796,0
3.605556,8.36,5.573333,7.2775,1.074074,0.598796,0
?,?,?,?,?,0.598796,0
?,?,0.066667,0.05,1.074074,0.598796,0
3.605556,2.163611,5.573333,7.2775,1.074074,0.598796,0
0.2,2.163611,1.581111,1.387222,1.074074,0.598796,0
?,?,?,0.05,1.074074,0.598796,0
0.2,0.1,1.581111,1.387222,1.074074,0.598796,0
0.2,0.1,0.066667,0.05,0.033333,0.598796,0
3.605556,8.36,5.573333,1.387222,1.074074,0.598796,0
?,?,?,?,0.033333,0.598796,0
0.2,8.36,5.573333,1.387222,1.074074,0.598796,0
?,?,?,0.05,0.033333,0.598796,0
0.2,2.163611,5.573333,1.387222,1.074074,0.598796,0
?,?,0.066667,0.05,0.033333,0.598796,0
14.95,8.36,5.573333,7.2775,1.074074,0.598796,0
13,9.145,1.467531,1.213704,1.055432,0.600617,0
2.907778,1.862407,1.467531,1.213704,1.055432,0.600617,0
13,1.862407,1.467531,1.213704,1.055432,0.600617,0
0.2,9.145,7.736667,1.213704,1.055432,0.600617,0
?,1.054286,9.76,1.13119,0.933413,0.607421,0
0.961429,1.054286,1.132381,1.13119,0.933413,0.607421,0
0.961429,7.46,1.132381,1.13119,0.933413,0.607421,0
5.89,7.46,1.132381,1.13119,0.933413,0.607421,0
1.282727,0.1,0.066667,1.184394,0.930859,0.610934,0
0.2,8.07,7.933333,1.404688,1.002292,0.615833,0
6.13,1.725625,1.494583,1.404688,1.002292,0.615833,0
6.13,1.725625,7.933333,1.404688,1.002292,0.615833,0
0.6,0.6,0.6,0.55,0.566667,0.666667,1
0.6,0.6,0.533333,0.55,0.533333,0.666667,1
4.53,5.795,1.316923,1.205673,0.963526,0.670513,0
4.53,1.313846,1.316923,1.205673,0.963526,0.670513,0
4.53,5.795,1.316923,1.205673,5.24,0.670513,0
4.53,5.795,7.366667,6.9725,5.24,0.670513,0
4.53,5.795,7.366667,1.205673,0.963526,0.670513,0
0.4,0.79,1.053333,2.02,1.346667,0.673333,1
8.06,4.13,2.753333,2.065,1.376667,0.688333,1
0.59,3.94,2.756667,2.0675,1.378333,0.689167,1
15.67,9.245,6.163333,4.6225,3.213333,0.69404,0
2.082712,1.596695,6.163333,4.6225,3.213333,0.69404,0
2.082712,9.245,6.163333,4.6225,3.213333,0.69404,0
0.2,0.1,0.066667,0.05,0.033333,0.69404,0
0.2,0.1,1.301921,4.6225,3.213333,0.69404,0
2.56,1.48,0.986667,0.79,0.788333,0.706667,1
5.32,2.76,1.84,1.38,1.183333,0.706667,1
0.2,2.603065,1.974946,1.617823,1.257581,0.706962,0
0.2,0.1,0.066667,0.05,0.033333,0.706962,0
?,?,?,0.05,0.033333,0.706962,0
28.36,17.03,11.353333,8.515,6.066667,0.706962,0
28.36,2.603065,1.974946,1.617823,1.257581,0.706962,0
3.974516,2.603065,1.974946,1.617823,1.257581,0.706962,0
?,?,0.066667,0.05,1.257581,0.706962,0
8.25,4.32,2.88,2.16,1.44,0.72,1
0.2,1.18,0.786667,0.59,0.426667,0.721667,1
8.66,4.33,2.886667,2.165,1.443333,0.721667,1
?,0.1,0.066667,0.05,0.033333,0.735031,0
5.462963,3.158704,2.278765,1.840741,1.312469,0.735031,0
23.05,3.158704,2.278765,1.840741,1.312469,0.735031,0
0.2,3.158704,2.278765,1.840741,1.312469,0.735031,0
8.85,4.425,2.95,2.2125,1.475,0.7375,1
5.179167,3.855833,2.641667,2.092083,1.434583,0.737847,0
4.71,8.75,1.407531,1.299907,1.12179,0.747037,0
8.78,4.39,2.926667,2.195,1.463333,0.748333,1
6.88,3.54,2.426667,1.87,1.476667,0.755,1
7.68,3.84,2.56,1.92,1.378333,0.755,1
4.965312,3.113359,2.215313,1.811875,1.325104,0.770417,0
0.2,3.113359,2.215313,1.811875,1.325104,0.770417,0
?,?,0.066667,0.05,1.325104,0.770417,0
?,0.1,0.066667,0.05,0.033333,0.770417,0
?,0.1,0.066667,0.05,1.325104,0.770417,0
0.2,0.1,0.066667,0.05,1.325104,0.770417,0
?,?,?,?,0.033333,0.770417,0
0.2,0.1,0.066667,0.05,0.033333,0.770417,0
?,?,?,0.05,1.325104,0.770417,0
0.2,0.1,0.066667,1.811875,1.325104,0.770417,0
0.2,0.1,2.215313,1.811875,1.325104,0.770417,0
9.25,4.625,3.083333,2.3125,1.541667,0.770833,1
0.2,0.2,0.463333,0.74,1.02,0.771667,1
0.6,0.5,1.973333,1.875,1.25,0.7725,1
8.34,4.565,3.043333,2.2825,1.555,0.7775,1
0.8,0.9,1,1,1,0.783333,1
9.3,4.75,3.166667,2.375,1.583333,0.791667,1
0.6,0.5,0.466667,0.5,0.6,0.8,1
3.908667,2.730167,2.026,1.667083,1.291833,0.803417,0
0.2,2.730167,2.026,1.667083,1.291833,0.803417,0
25.39,2.730167,2.026,1.667083,1.291833,0.803417,0
0.2,0.1,2.407089,1.952183,1.405704,0.805716,0
?,?,?,?,0.033333,0.805716,0
?,0.1,2.407089,1.952183,1.405704,0.805716,0
0.2,2.958732,2.407089,1.952183,1.405704,0.805716,0
?,0.1,0.066667,1.952183,1.405704,0.805716,0
31.87,16.755,2.407089,1.952183,1.405704,0.805716,0
4.687746,2.958732,2.407089,1.952183,1.405704,0.805716,0
?,?,?,?,?,0.805716,0
?,?,?,0.05,1.405704,0.805716,0
?,2.958732,2.407089,1.952183,1.405704,0.805716,0
0.2,0.1,0.066667,0.05,1.405704,0.805716,0
0.2,2.610882,2.040196,1.735809,1.319559,0.805784,0
3.695294,2.610882,2.040196,1.735809,1.319559,0.805784,0
?,2.610882,2.040196,1.735809,1.319559,0.805784,0
?,?,0.066667,1.735809,1.319559,0.805784,0
?,0.1,2.040196,1.735809,1.319559,0.805784,0
36.69,18.345,12.23,9.1725,6.115,0.805784,0
7.68,4.04,2.76,2.12,1.613333,0.806667,1
1.97,1.485,1.323333,1.1925,0.961667,0.814167,1
12.59,13.48,1.941616,1.699091,1.42697,0.81851,0
2.442424,2.381061,1.941616,1.699091,1.42697,0.81851,0
?,2.381061,1.941616,1.699091,1.42697,0.81851,0
5.69,4.52,3.146667,2.41,1.64,0.82,1
0,0,0,0,0,0.821667,1
4.225833,10.84,2.222083,1.823021,1.462222,0.831875,0
9.65,4.825,3.216667,2.4625,1.641667,0.8375,1
9.65,4.825,3.216667,2.4125,1.641667,0.8375,1
10.07,5.035,3.356667,2.5175,1.678333,0.839167,1
0,0.3,0.536667,0.6075,0.701667,0.841667,1
0.8,0.7,0.666667,0.7,0.7,0.85,1
8.66,4.33,2.886667,2.165,1.443333,0.8525,1
0,5.02,3.346667,2.51,1.706667,0.87,1
1.77,5.02,3.346667,2.56,1.706667,0.87,1
1.78,1.585,1.453333,1.29,1.126667,0.88,1
10.6,5.3,3.533333,2.65,1.766667,0.883333,1
0,5.215,3.476667,2.6075,1.738333,0.885833,1
10.25,5.125,3.416667,2.5625,1.775,0.8875,1
11.02,5.51,3.673333,2.755,1.836667,0.918333,1
9.26,5.515,3.676667,2.7575,1.838333,0.919167,1
0,0,0,0.1,0.1,0.92,1
11.09,5.545,3.696667,2.7725,1.848333,0.924167,1
33.78,20.04,13.36,10.02,6.68,0.938646,0
4.965937,3.505156,2.556354,2.280937,1.750625,0.938646,0
11.36,5.68,3.786667,2.84,1.893333,0.946667,1
1,1,0.933333,0.9,0.866667,0.946667,1
